word,src,timestep,PC1,PC2
力,weibo,8,0.08894985,-0.14774936
四川,weibo,8,-0.10100257,-0.33482996
專注,weibo,8,-0.47933528,0.021452963
3000,weibo,8,-0.32623678,-0.16232637
楊,weibo,8,0.26172993,-0.28208968
精準,weibo,8,-0.25878024,0.21498805
工程,weibo,8,-0.5829717,0.07617965
預告,weibo,8,-0.13177852,-0.457859
得到,weibo,8,0.2102159,0.13726197
長,weibo,8,0.2597308,-0.19201241
不行,weibo,8,0.3972268,-0.053246323
說,weibo,8,0.28260127,-0.0898131
劇本,weibo,8,-0.20204152,-0.06705615
依舊,weibo,8,0.083530515,-0.076940164
炒作,weibo,8,-0.2558854,0.19093147
屁,weibo,8,0.3953213,-0.05349116
訪問,weibo,8,-0.2989277,-0.108583085
101,weibo,8,-0.13729745,-0.31934068
住院,weibo,8,-0.29306126,-0.1176458
邊,weibo,8,0.31341746,-0.1682639
不如,weibo,8,0.2693927,-0.08327256
崩潰,weibo,8,0.3491042,0.076863624
形象,weibo,8,0.06564788,0.101963535
屆,weibo,8,-0.47080505,-0.5571725
牌,weibo,8,-0.00805179,-0.11764927
各,weibo,8,-0.3135118,-0.25227216
課,weibo,8,0.30854157,-0.26296088
食品,weibo,8,-0.2049204,-0.37244645
提供,weibo,8,-0.37231144,-0.07876081
兩個,weibo,8,0.16170913,-0.14787489
可能性,weibo,8,-0.21820767,0.26957995
把握,weibo,8,0.1441744,0.047296707
更新,weibo,8,0.100077204,-0.5332814
讀,weibo,8,0.33645505,-0.14992607
信,weibo,8,0.3208938,-0.0036670538
才,weibo,8,0.16929635,-0.016232582
資金,weibo,8,-0.3912407,0.23305789
有點,weibo,8,0.47667927,-0.1466788
一根,weibo,8,0.35310546,-0.051108
飛機,weibo,8,-0.2111478,-0.17024446
順利,weibo,8,-0.051115688,-0.06992729
本身,weibo,8,0.0222266,0.27855083
預定,weibo,8,-0.07093212,-0.39810222
附近,weibo,8,-0.3708232,-0.27693462
加,weibo,8,0.11866251,-0.254444
小孩子,weibo,8,0.34906217,0.0012666218
頂,weibo,8,0.18582407,-0.06334349
慢慢,weibo,8,0.07334021,-0.03713271
囂張,weibo,8,0.27224702,0.1256877
血,weibo,8,0.2128761,-0.06990831
王,weibo,8,-0.07392249,-0.28793487
很難,weibo,8,0.23310502,0.29662958
一起,weibo,8,0.19638458,-0.2803933
黨,weibo,8,0.019290663,0.19335425
弟弟,weibo,8,0.27827054,-0.28477946
命,weibo,8,0.004955197,-0.0076366714
處,weibo,8,-0.40698612,0.028183592
衣服,weibo,8,0.46771133,-0.023857325
馬英九,weibo,8,-0.27298227,-0.047073394
全程,weibo,8,0.04381071,-0.1026924
再次,weibo,8,-0.23027895,-0.089774214
早已,weibo,8,-0.18576862,0.09827018
走,weibo,8,0.24540855,-0.10408642
適應,weibo,8,-0.14511941,0.32093886
夢,weibo,8,0.13312107,-0.39124054
一中,weibo,8,-0.17855161,0.20221578
按照,weibo,8,-0.37071684,-0.010454383
班,weibo,8,-0.16098103,-0.13057224
紐約,weibo,8,0.19545025,-0.04388792
自由,weibo,8,-0.15680405,-0.07615722
男人,weibo,8,0.37289155,0.0442482
剛好,weibo,8,0.41413632,-0.27625936
一部,weibo,8,0.13511929,-0.21155594
亦,weibo,8,-0.3796624,0.1150675
範圍,weibo,8,-0.39902097,0.21421541
時代,weibo,8,-0.029750507,-0.034179598
平安,weibo,8,0.14747918,-0.20411336
靠,weibo,8,0.2587553,0.12050174
主題,weibo,8,-0.33753616,-0.16761464
佔,weibo,8,-0.4614828,-0.15864731
想到,weibo,8,0.47870094,-0.18933491
會,weibo,8,0.10848018,-0.0073574297
醫生,weibo,8,0.15291815,-0.2596063
、,weibo,8,-0.21058564,-0.2821772
80,weibo,8,-0.27644098,-0.3163617
組合,weibo,8,0.08485079,-0.23156625
擔任,weibo,8,-0.40674725,-0.33599502
近日,weibo,8,-0.33815128,-0.17182106
苦,weibo,8,0.3238064,0.1295374
同胞,weibo,8,0.084287435,0.18577404
58,weibo,8,-0.28837118,-0.49429008
家人,weibo,8,0.16537583,-0.17930962
50,weibo,8,-0.27630302,-0.4105412
看不到,weibo,8,0.14087395,0.236591
5G,weibo,8,-0.51802695,0.041707445
」,weibo,8,-0.03130601,-0.29529366
氣候,weibo,8,0.053126365,0.19451652
當年,weibo,8,0.080099314,0.08334077
不少,weibo,8,0.021428887,0.15517123
人們,weibo,8,0.038079683,0.19957776
人士,weibo,8,-0.49842992,0.108758256
內,weibo,8,-0.061337452,-0.040658593
固定,weibo,8,0.052980535,0.15369917
｜,weibo,8,0.08923294,-0.4164
創新,weibo,8,-0.5596499,-0.055288102
人氣,weibo,8,-0.1347086,-0.5224645
研發,weibo,8,-0.45440307,-0.11793298
這個,weibo,8,0.27342004,-0.069129765
有趣,weibo,8,0.25302333,-0.067206174
每年,weibo,8,-0.31974992,-0.12725858
天下,weibo,8,0.03291336,-0.0032748412
界,weibo,8,0.14057215,-0.090977885
陸續,weibo,8,-0.40769604,-0.114265576
開幕,weibo,8,-0.4091297,-0.54946905
第一個,weibo,8,0.11874834,-0.10200528
上海,weibo,8,-0.22040418,-0.43789002
會議,weibo,8,-0.24554697,0.096335374
實際,weibo,8,-0.26958734,0.17293428
N,weibo,8,-0.027853392,-0.28252408
生意,weibo,8,0.19544998,0.13030091
人口,weibo,8,-0.29408562,0.03823418
佛教,weibo,8,-0.045801956,0.029750524
開展,weibo,8,-0.39442223,0.06377697
相,weibo,8,-0.2740422,0.119387776
刷,weibo,8,0.35678703,-0.09687329
此前,weibo,8,-0.4662669,0.04638487
道,weibo,8,0.058036216,-0.2663182
轉發,weibo,8,0.071615584,-0.20773435
蓬佩奧,weibo,8,-0.29264316,-0.07807803
經歷,weibo,8,0.1425958,0.14538042
參考,weibo,8,-0.23729931,-0.23423426
消費者,weibo,8,-0.3189072,0.024581524
神,weibo,8,-0.048800256,-0.21824716
刺激,weibo,8,0.13544132,0.12932123
成本,weibo,8,-0.31521392,0.09530146
幾天,weibo,8,0.19785061,-0.091083206
態度,weibo,8,-0.04852581,0.32156503
逐漸,weibo,8,-0.3061086,0.014948195
季節,weibo,8,-0.07163867,0.16324183
劇情,weibo,8,0.288063,-0.016518326
會上,weibo,8,-0.5273141,-0.06657197
一行,weibo,8,-0.124324545,-0.24726605
陷入,weibo,8,-0.043745857,0.32538626
通過,weibo,8,-0.43029115,-0.022516858
四大,weibo,8,-0.20278364,0.145803
立,weibo,8,-0.120904714,0.23492673
紅,weibo,8,0.10455731,-0.32476273
時間,weibo,8,-0.06725784,-0.22273217
*,weibo,8,-0.012450242,-0.45427394
下來,weibo,8,0.15262993,-0.06886323
內部,weibo,8,-0.36232254,0.1605209
曾,weibo,8,-0.16200921,-0.19591214
道理,weibo,8,0.3285812,0.19459884
做成,weibo,8,0.018348612,0.07326359
最愛,weibo,8,0.48615673,-0.22107969
感情,weibo,8,0.04349313,0.2306598
事實,weibo,8,-0.0136577245,0.30605537
來看,weibo,8,0.14723846,-0.009516458
一方面,weibo,8,-0.18936922,0.24084146
有限公司,weibo,8,-0.5372598,-0.28443205
幾十年,weibo,8,0.24688247,0.30695742
我國,weibo,8,-0.43281993,-0.10038019
本地,weibo,8,-0.15238468,-0.22789884
不說,weibo,8,0.24366203,0.10615244
學會,weibo,8,0.42157567,0.00048014108
美好,weibo,8,0.3420753,-0.0919781
差異,weibo,8,0.12025466,0.2505149
士林,weibo,8,-0.09050169,-0.4080649
毀滅,weibo,8,0.08077145,0.19250014
飲料,weibo,8,0.17833248,-0.29199377
海域,weibo,8,-0.60490537,-0.13561867
就業,weibo,8,-0.4537726,-0.11593084
開發,weibo,8,-0.46067366,0.05522543
推進,weibo,8,-0.5039421,0.17681257
天王,weibo,8,0.027394574,0.07726426
03,weibo,8,-0.13643835,-0.46684328
採訪,weibo,8,-0.31917107,-0.024177894
“,weibo,8,-0.1474957,-0.15840998
每天,weibo,8,0.21044743,-0.19204591
惡,weibo,8,-0.11262483,-0.1800815
代價,weibo,8,-0.22028911,0.023244858
投資,weibo,8,-0.5125125,0.02611709
不可,weibo,8,0.15422243,0.005719792
為,weibo,8,0.02016816,-0.17025672
接受,weibo,8,-0.31636333,-0.012138374
想起,weibo,8,0.31644014,-0.25249422
我要,weibo,8,0.45135844,-0.10607049
の,weibo,8,-0.29345217,-0.37890902
收拾,weibo,8,0.35567462,0.10740887
長期,weibo,8,-0.00930263,0.31624562
遺憾,weibo,8,0.347181,0.1844132
草,weibo,8,0.07006788,-0.081912935
新疆,weibo,8,-0.20969163,-0.2586946
工廠,weibo,8,-0.4205293,-0.17915425
綜合,weibo,8,-0.32005873,-0.22756606
；,weibo,8,-0.22283408,-0.21630433
註定,weibo,8,0.05097852,0.28117484
航空,weibo,8,-0.62198734,-0.29227403
同時,weibo,8,-0.19885126,0.13158126
逐步,weibo,8,-0.43994305,0.24629515
清單,weibo,8,-0.40464228,0.07902683
互動,weibo,8,-0.0856016,0.029280696
東,weibo,8,-0.4573406,-0.4344306
零,weibo,8,-0.35870984,-0.35702437
前,weibo,8,-0.12470513,-0.22589315
今,weibo,8,-0.1471411,-0.36601064
冷,weibo,8,0.4354379,-0.43293294
卷,weibo,8,0.00055270887,-0.5066684
價值,weibo,8,0.008235368,0.03385821
能力,weibo,8,-0.23689182,0.18465067
霸凌,weibo,8,-0.2856524,0.39250574
從不,weibo,8,0.025608132,0.09408567
本質,weibo,8,-0.15675002,0.048070833
效果,weibo,8,0.14077565,-0.062120683
及,weibo,8,-0.47230726,-0.14720525
中華,weibo,8,-0.19990654,-0.32806855
其,weibo,8,-0.32908866,0.1314846
我們,weibo,8,0.1934886,0.072833315
】,weibo,8,-0.1929641,-0.3989851
軍,weibo,8,-0.3874475,0.042146806
持續,weibo,8,-0.43691313,-0.10640352
餐廳,weibo,8,0.05128441,-0.4082588
無,weibo,8,-0.16058417,-0.28046757
成就,weibo,8,0.09715266,0.1442245
播放,weibo,8,0.0022271166,-0.28114834
面積,weibo,8,-0.4464712,-0.2431937
妹妹,weibo,8,0.4404564,-0.34958088
樂團,weibo,8,0.09462871,-0.43412384
...,weibo,8,0.040076006,-0.19996628
沒有,weibo,8,0.16665086,0.042654555
父母,weibo,8,0.31888494,0.12502468
救,weibo,8,0.14881317,0.25846887
此舉,weibo,8,-0.23372307,0.3250532
吶,weibo,8,0.20962657,0.03464612
一組,weibo,8,0.20636836,-0.1655916
成立,weibo,8,-0.5202775,-0.31502837
甚至,weibo,8,0.028749889,0.10053593
如下,weibo,8,-0.249418,0.030636996
地區,weibo,8,-0.34389597,-0.1265165
=,weibo,8,-0.1181882,-0.65438473
所,weibo,8,-0.26746184,-0.00080658565
週末,weibo,8,0.21106789,-0.26619956
嗎,weibo,8,0.25765157,-0.107393585
對象,weibo,8,-0.1590449,0.2986186
