collo_1,collo_2,MI,Xsq,Gsq,count,src,timestep
統一,臺灣,4.15946197320839,3803.5397697333146,978.1447746254539,235,weibo,9
去,臺灣,3.2819243721679308,2501.4312137650577,910.0583130634616,314,weibo,9
對,臺灣,3.2881252657490707,2482.5569676357813,901.0150496119512,310,weibo,9
武統,臺灣,4.914257843688326,3521.4490020430794,665.1608956154096,123,weibo,9
稱呼,臺灣,4.77573768343668,3306.251747354158,660.7608786178132,128,weibo,9
招收,臺灣,5.981249000440491,3106.9091335777716,401.77065930720687,50,weibo,9
##,臺灣,2.3486811778137318,760.46004420618,388.14537562112645,227,weibo,9
進入,臺灣,4.102683673156827,1408.6011908544563,370.1064363364098,91,weibo,9
據,臺灣,3.943314930022569,1311.5230465966197,367.40727503506565,96,weibo,9
解決,臺灣,4.526186705728624,1584.7433430091241,350.5075819905387,74,weibo,9
向,臺灣,3.4484648489657013,997.7007390806417,339.6913351298309,109,weibo,9
戲說,臺灣,6.037832528806859,2588.1181630115866,334.9040396537021,40,weibo,9
來自,臺灣,3.817866844864951,1051.116401057559,309.52466733474864,85,weibo,9
到,臺灣,2.4385147351086327,550.1013302717183,271.92171941927245,150,weibo,9
人次,臺灣,5.613334700278949,1812.6784937495795,260.6534843708175,38,weibo,9
飛抵,臺灣,6.037832528806859,1941.0702448621187,251.15903978315905,30,weibo,9
逼近,臺灣,5.257145557211335,1436.4729629260712,236.32085775906597,39,weibo,9
臺式,臺灣,5.4528700280857025,1444.0353924623373,220.2540518678397,34,weibo,9
援助,臺灣,5.735269758786428,1562.5198897189057,215.4825480335296,30,weibo,9
200920,臺灣,6.037832528806859,1617.5508802452698,209.29115079358925,25,weibo,9
和,臺灣,1.6385348217050304,316.0436758209343,203.60356232073792,216,weibo,9
認清,臺灣,5.437439987516097,1301.9545464202047,199.741551476005,31,weibo,9
割,臺灣,5.792720030970328,1465.5773278463596,198.45602850049033,27,weibo,9
根裝,臺灣,5.784075936561075,1402.5549366827506,190.42829591621276,26,weibo,9
：,臺灣,1.5126135721378815,278.8522752359103,186.76687197527838,227,weibo,9
雙眼皮,臺灣,6.037832528806859,1423.4407316766296,184.1718935684381,22,weibo,9
寶島,臺灣,4.896476679561317,960.4917151326345,182.59538544722312,34,weibo,9
】,臺灣,1.8396398023417415,276.25025433214194,166.8768569731927,146,weibo,9
從,臺灣,2.5490359909105225,343.4872673802422,163.2042264099726,84,weibo,9
打,臺灣,2.8271980783465827,351.2443607736405,150.9979321859087,66,weibo,9
保衛,臺灣,5.590373551835637,1032.1637495748787,149.62450986232915,22,weibo,9
把,臺灣,2.427447431205796,271.76618905139543,134.73622206064329,75,weibo,9
訪問,臺灣,3.8768406521345544,466.4894288611538,134.11282124885784,36,weibo,9
梧桐,臺灣,4.563901340474446,594.845937187139,129.49769619899922,27,weibo,9
1THE9,臺灣,6.037832528806859,970.5213397098561,125.5646036982302,15,weibo,9
劉勇河,臺灣,6.037832528806859,970.5213397098561,125.5646036982302,15,weibo,9
奅,臺灣,6.037832528806859,905.8190594839815,117.19262713070655,14,weibo,9
攻打,臺灣,6.037832528806859,841.1169017708362,108.82077420225085,13,weibo,9
長江三峽,臺灣,5.845187450864463,789.0969888107444,105.19964624541426,14,weibo,9
是,臺灣,0.9101460022950675,130.83720253514767,104.38423573599744,310,weibo,9
，,臺灣,0.39641052098084006,107.29708015673492,98.28702147805109,1305,weibo,9
竄訪,臺灣,5.8313816513394325,725.5067675424182,97.10419342608019,13,weibo,9
恫嚇,臺灣,4.850205525631088,491.3151531435288,95.16165261324733,18,weibo,9
與,臺灣,1.6227950295280151,145.76486727136555,94.24536137463221,102,weibo,9
抵達,臺灣,4.877367856613613,473.4712868182546,90.69749076855402,17,weibo,9
介紹,臺灣,3.78687095527364,301.4993672460448,89.82460176255915,25,weibo,9
‧,臺灣,3.5484476880679336,258.3925961185582,84.54820596071093,26,weibo,9
MRJ,臺灣,6.037832528806859,647.0111637042972,83.7059590456877,10,weibo,9
【,臺灣,1.432970470647998,120.95875501131336,82.88759022646906,111,weibo,9
回,臺灣,2.6850434702147363,172.3849949624322,77.99162783237114,37,weibo,9
到訪,臺灣,5.4528700280857025,509.6436271744746,77.72078645508938,12,weibo,9
正宗,臺灣,4.424855651916106,337.0815752393108,77.65812786089832,17,weibo,9
給,臺灣,1.9046903164062576,130.85567102991624,77.33254315209162,64,weibo,9
讓,臺灣,1.666809884391327,118.20214195861497,75.3634416908228,78,weibo,9
朝着,臺灣,5.774798122973065,535.8487714726103,72.9561021612164,10,weibo,9
代表,臺灣,2.8679075273645465,171.19855174345045,72.48099638270426,31,weibo,9
全,臺灣,3.34222596440171,192.48314740734875,68.20691892964595,23,weibo,9
邱毅,臺灣,5.037832528806859,376.30430814194955,67.54814836138587,12,weibo,9
飛越,臺灣,3.885829435361809,234.89748389871053,67.27728280820452,18,weibo,9
收回,臺灣,4.385755832227166,269.44779226553584,63.07122851381599,14,weibo,9
針對,臺灣,2.8327180989022467,144.37295927799923,61.91210880086784,27,weibo,9
收,臺灣,4.32162549480745,256.5573799238022,61.64146191876635,14,weibo,9
生於,臺灣,3.92930807202869,216.11186239460375,60.830403188373786,16,weibo,9
進駐,臺灣,3.8679075273645465,205.8445655138691,59.377565736511286,16,weibo,9
王炳忠,臺灣,4.622795029528015,276.3538373332052,58.72438944329734,12,weibo,9
朝,臺灣,5.111833110250636,331.1271302095537,57.69722927753084,10,weibo,9
想念,臺灣,3.734051780629756,184.93374504370485,56.254838932629596,16,weibo,9
跟,臺灣,1.8679075273645465,89.9423375005549,53.77841391486034,46,weibo,9
環,臺灣,3.890991140477588,183.44478355682918,52.43040386901565,14,weibo,9
屆,臺灣,2.8899338336945455,123.94914610518762,52.04932487860815,22,weibo,9
美麗,臺灣,3.587171119797294,153.87773340901788,49.58874660656717,15,weibo,9
偷渡,臺灣,3.3939763390321342,139.85709386590653,48.579397456746925,16,weibo,9
看,臺灣,1.3765942608038977,65.89604165299555,45.902830680681475,66,weibo,9
登陸,臺灣,3.922355311386923,161.19258702935036,45.496273208867066,12,weibo,9
今天,臺灣,1.5237698336757295,65.90663243225464,43.90853615966331,53,weibo,9
看到,臺灣,1.863200524687019,66.08584793253935,39.5686493056409,34,weibo,9
警惕,臺灣,4.0022086190761375,143.05197794970448,39.10461624800753,10,weibo,9
一羣,臺灣,3.689909225386552,122.68612977716897,37.97316606454882,11,weibo,9
幫助,臺灣,2.9560384376432114,89.70756781387811,36.76134353226502,15,weibo,9
加上,臺灣,3.037832528806859,90.06076861789995,35.80219106475123,14,weibo,9
由,臺灣,2.1269400026408443,63.30915343973087,34.75690091954275,24,weibo,9
O,臺灣,1.0149363528203328,44.099268140883396,34.11002111868251,84,weibo,9
前往,臺灣,3.631840169131022,106.39455008565834,33.69047445369864,10,weibo,9
自稱,臺灣,3.631840169131022,106.39455008565834,33.69047445369864,10,weibo,9
